drill_id,name,area,tags,default_min,xp_bonus,description,resource
D001,클린 뮤트 루틴 8분,기본기,박자;8분음표,8,10,왼손/오른손 뮤트로 쉼표 공진 0 목표,
D002,2&4 포켓 10분,기본기,박자;16분음표,10,10,메트로놈 2&4에 두고 16분 그리드 유지,
D003,1마디 1번 클릭 5분,기본기,박자;지구력,5,20,고급: 1마디 1번 클릭으로 타임 유지,
D004,다이내믹 5분,기본기,다이내믹,5,8,같은 음을 p→mf→f로 볼륨 균등,
D005,포지션 맵핑 10분,기본기,포지션,10,10,같은 음 다른 줄/포지션 찾기,
D006,고스트 16분 엔진 10분,펑크&재즈,고스트;16분음표;그루브,10,10,고스트를 리듬으로만 들리게,
D007,크로매틱 접근 10분,펑크&재즈,크로매틱;코드톤,10,10,다음 목표음(코드톤)으로 반음 접근,
D008,ii-V 라인 만들기 15분,펑크&재즈,진행;코드톤;컴핑,15,12,코드톤 위주로 8마디 라인 만들기,
D009,워킹 베이스 15분,펑크&재즈,워킹;진행,15,12,"강박=코드톤, 약박=연결",
D010,리듬 읽기 10분,악보/이론,리딩;8분음표,10,8,리듬만 정확히(뮤트 스트로크),
D011,Nashville 도수로 적기 10분,악보/이론,인터벌;진행,10,8,루트 진행을 도수로 기록,
D012,코드톤 훈련 10분,악보/이론,코드톤;인터벌,10,10,1-3-5-7 arpeggio로 연결,
D013,슬랩 기본(엄지 다운) 10분,슬랩,슬랩;클린,10,10,소리 균등 + 잡음 제어,
D014,팝 정확도 8분,슬랩,슬랩;스피드,8,10,팝 음량/타임 균등,
D015,슬랩 그루브 10분,슬랩,슬랩;그루브;고스트,10,12,짧게 끊기 + 고스트,
